X,Y,fid,id,left,top,right,bottom,row_index,col_index,pop_sum
78.5536393454897,17.2502898855645,"1084","2868",239400.374930186,1909249.57810952,240400.374930186,1908249.57810952,"51","44",388.790738150477
78.5618998216894,17.3484689537748,"1085","2921",240400.374930186,1920249.57810952,241400.374930186,1919249.57810952,"40","45",13643.6608333588
78.5620191777759,17.339437940507,"1086","2922",240400.374930186,1919249.57810952,241400.374930186,1918249.57810952,"41","45",13832.9006462097
78.5621384619527,17.3304069183053,"1087","2923",240400.374930186,1918249.57810952,241400.374930186,1917249.57810952,"42","45",13780.7339859009
78.562257674236,17.3213758871738,"1088","2924",240400.374930186,1917249.57810952,241400.374930186,1916249.57810952,"43","45",15982.4350357056
78.5623768146422,17.3123448471168,"1089","2925",240400.374930186,1916249.57810952,241400.374930186,1915249.57810952,"44","45",7749.49913659692
78.5624958831876,17.3033137981384,"1090","2926",240400.374930186,1915249.57810952,241400.374930186,1914249.57810952,"45","45",1298.30934999883
78.5626148798886,17.294282740243,"1091","2927",240400.374930186,1914249.57810952,241400.374930186,1913249.57810952,"46","45",6090.44198079407
78.5627338047614,17.2852516734346,"1092","2928",240400.374930186,1913249.57810952,241400.374930186,1912249.57810952,"47","45",942.145737871528
78.5628526578224,17.2762205977176,"1093","2929",240400.374930186,1912249.57810952,241400.374930186,1911249.57810952,"48","45",1233.49492841959
78.5629714390879,17.2671895130961,"1094","2930",240400.374930186,1911249.57810952,241400.374930186,1910249.57810952,"49","45",310.891155526042
78.5630901485741,17.2581584195744,"1095","2931",240400.374930186,1910249.57810952,241400.374930186,1909249.57810952,"50","45",114.260969296098
78.5636433120349,17.2496065102569,"1096","2932",240400.374930186,1909249.57810952,241400.374930186,1908249.57810952,"51","45",387.798143588006
78.5664295575077,17.243472561113,"1097","2933",240400.374930186,1908249.57810952,241400.374930186,1907249.57810952,"52","45",37.3010629415512
78.5713035356959,17.3485833936698,"1098","2985",241400.374930186,1920249.57810952,242400.374930186,1919249.57810952,"40","46",10651.1131325364
78.5714224325334,17.3395523171659,"1099","2986",241400.374930186,1919249.57810952,242400.374930186,1918249.57810952,"41","46",14773.4956970215
78.5715412577375,17.330521231734,"1100","2987",241400.374930186,1918249.57810952,242400.374930186,1917249.57810952,"42","46",15857.0963058472
78.5716600113247,17.3214901373783,"1101","2988",241400.374930186,1917249.57810952,242400.374930186,1916249.57810952,"43","46",18147.4380340576
78.5717786933112,17.3124590341031,"1102","2989",241400.374930186,1916249.57810952,242400.374930186,1915249.57810952,"44","46",7016.71537025273
78.5718973037132,17.3034279219124,"1103","2990",241400.374930186,1915249.57810952,242400.374930186,1914249.57810952,"45","46",2351.23956684768
78.5720158425471,17.2943968008106,"1104","2991",241400.374930186,1914249.57810952,242400.374930186,1913249.57810952,"46","46",3606.34931129217
78.5721343098291,17.2853656708018,"1105","2992",241400.374930186,1913249.57810952,242400.374930186,1912249.57810952,"47","46",1402.51031745225
78.5722527055754,17.2763345318903,"1106","2993",241400.374930186,1912249.57810952,242400.374930186,1911249.57810952,"48","46",2109.21674278006
78.5723710298022,17.2673033840803,"1107","2994",241400.374930186,1911249.57810952,242400.374930186,1910249.57810952,"49","46",1957.50679223984
78.5724892825258,17.258272227376,"1108","2995",241400.374930186,1910249.57810952,242400.374930186,1909249.57810952,"50","46",959.727345280349
78.5726074637624,17.2492410617816,"1109","2996",241400.374930186,1909249.57810952,242400.374930186,1908249.57810952,"51","46",408.540866628289
78.5730445740668,17.2428496436802,"1110","2997",241400.374930186,1908249.57810952,242400.374930186,1907249.57810952,"52","46",306.879587620497
78.580707321352,17.3486973923034,"1111","3049",242400.374930186,1920249.57810952,243400.374930186,1919249.57810952,"40","47",3313.65594795533
78.580825758924,17.3396662528072,"1112","3050",242400.374930186,1919249.57810952,243400.374930186,1918249.57810952,"41","47",8407.58947503567
78.5809441251394,17.3306351043889,"1113","3051",242400.374930186,1918249.57810952,243400.374930186,1917249.57810952,"42","47",14518.8808364868
78.5810624200141,17.3216039470527,"1114","3052",242400.374930186,1917249.57810952,243400.374930186,1916249.57810952,"43","47",8594.16363745928
78.5811806435646,17.3125727808029,"1115","3053",242400.374930186,1916249.57810952,243400.374930186,1915249.57810952,"44","47",4802.13712155819
78.5812987958071,17.3035416056436,"1116","3054",242400.374930186,1915249.57810952,243400.374930186,1914249.57810952,"45","47",4253.34069310129
78.5814168767576,17.2945104215791,"1117","3055",242400.374930186,1914249.57810952,243400.374930186,1913249.57810952,"46","47",1731.55971709639
78.5815348864324,17.2854792286135,"1118","3056",242400.374930186,1913249.57810952,243400.374930186,1912249.57810952,"47","47",646.271934432909
78.5816528248478,17.2764480267511,"1119","3057",242400.374930186,1912249.57810952,243400.374930186,1911249.57810952,"48","47",5175.87211240456
78.5817706920198,17.2674168159961,"1120","3058",242400.374930186,1911249.57810952,243400.374930186,1910249.57810952,"49","47",6007.31443786621
78.5818884879645,17.2583855963527,"1121","3059",242400.374930186,1910249.57810952,243400.374930186,1909249.57810952,"50","47",4159.03319478035
78.5820062126983,17.2493543678251,"1122","3060",242400.374930186,1909249.57810952,243400.374930186,1908249.57810952,"51","47",3304.16547453403
78.5822644932585,17.2423167386651,"1123","3061",242400.374930186,1908249.57810952,243400.374930186,1907249.57810952,"52","47",120.091228984296
78.5901111783811,17.3488109496609,"1124","3113",243400.374930186,1920249.57810952,244400.374930186,1919249.57810952,"40","48",213.33995116502
78.5902291566715,17.3397797474161,"1125","3114",243400.374930186,1919249.57810952,244400.374930186,1918249.57810952,"41","48",1925.20016153157
